Author,Cluster,interests
Jianshun “Jensen” Zhang,1,"combined heat, air, moisture and pollutant simulations (champs), multi-disciplinary and multi-scale building systems design and optimization, building energy efficiency, intelligent buildings, effects of indoor environmental quality on occupant exposure, productivity, and creativity, built environmental systems measurements, modeling, and controls, building physics, indoor environmental quality, hygrothermal performance of building materials and enclosure systems, heat and mass transfer, material emissions, air purification, ventilation, and indoor air quality, building energy and environmental systems"
Dacheng Ren,2,"biofilms, persister cells, biotechnology"
Pranav Soman,2,"microfluidics, tissue engineering, additive bio-manufacturing, bioprinting, optical printing, organ-on-chip"
Yaoying Wu,2,"biomaterials, immunoengineering, synthetic biomaterials, biomedical engineering, immunotherapy"
Jialiu Zeng,2,"biomarker discovery, nanomedicine and targeted drug delivery, stimuli-responsive biomaterials, translational neuroscience, lysosomes, nanomedicine, disease modeling, autophagy, neurodegeneration, metabolic disorders"
Teng Zhang,2,"smart materials, mechanics of interfaces, interfaces, morphing structures, solid mechanics, mechanics of morphing, mechanics of instabilities, instabilities"
Zhao Qin,2,"biological material, molecular dynamics, material design, biomechanics"
Yi Zheng,2,"microfluidics, stem cell, development, organoid, single-cell rna-seq"
Zhen Ma,2,"induced pluripotent stem cells, tissue engineering, organoids, 3d organoid technology, stem cell engineering developmental, cardiac tissue engineering and regenerative medicine, mechanobiology"
James (Jay) Henderson,2,"smart materials, tissue engineering, and tissue engineering, advanced manufacturing, biomechanics, shape-memory polymers, mechanobiology"
Michael Blatchley,2,"4d biomaterials, extracellular matrix, organoids, tissue engineering, tissue morphogenesis, vascularization, vascular biology"
Michelle M. Blum,2,"engineering education, tribology, mechanical characterization of materials, mechanics, materials, inquiry based learning methods, tribology & lubrication"
Xiyuan Liu,2,"microfluidics, point of care diagnosis, wearable biosensor, portable sensor, biosensor, microfluidic, wearable sensor"
Mary Beth Browning Monroe,2,
Era Jain,2,"tissue engineering, biomaterials, targeted and programed drug delivery for macrophages, injectable and biodegradable hydrogels and scaffolds, musculoskeletal tissue engineering, drug delivery"
Ruth Chen,2,
Baris Salman,3,"infrastructure asset management, infrastructure management, resilience, sustainable development, asset management, construction engineering and management, building information modeling, construction eng., risk assessment and management, bim for infrastructure"
Victor Duenas,3,"adaptive control, rehabilitation robotics, nonlinear and adaptive control, control theory, functional electrical stimulation"
Bing Dong,3,"buildings-to-grid integration, occupant behavior, energy efficient buildings, mpc, fault detection"
Yizhi Liu,3,"construction robotics, construction automation, human-robot collaboration"
Prasanta K. Ghosh,3,human-centered signal and information processing
Yue Cao,3,"robotics, artificial intelligence"
Edmund S. Yu,3,"Artificial Intelligence, Machine Learning, Information Retrieval, Natural Language Processing, Data Mining"
Reza Zafarani,3,"data mining, machine learning, social media, networks, online behavior"
Alexander Deyhim,3,"engineering design/project management, fundamentals of engineering, entrepreneurship"
Senem Velipasalar,3,"signal processing, embedded computer vision, mobile camera applications, machine learning, computer vision, embedded smart cameras, wireless smart camera networks, image and video processing, information theory"
Fernando Zigunov,3,"piv, flow visualization and tomography, machine learning flow control, psp, supersonic noise control, experimental fluid dynamics, machine learning in fluids, aerodynamics"
Min Liu,3,"lean construction techniques for construction productivity improvement., project control systems and field management technologies., using data mining and machine learning approaches for intelligent construction planning., integration of project information into visualization and simulation models., work module development for digital twin design., construction engineering and management"
Chilukuri K. Mohan,3,"bioinformatics, reinforcement learning, anomaly detection, neural networks, evolutionary algorithms"
Vir V. Phoha,3,"biometrics, machine learning"
Young B. Moon,3,"cyber-manufacturing systems, machine learning, modeling and simulation, cyber-physical security, sustainability"
Wanliang Shan,4,"soft robotics, solid mechanics, materials engineering, machine learning, thermophysics"
Jesse Q. Bond,4,"catalysis, reaction engineering, biomass processing, alternative fuels"
Quinn Qiao,4,"lithium batteries, photovoltaics, sensors & sensor networks, precision agricultur"
Theodore Walker,4,"advanced liquid- and solid-state nmr spectroscopy, reaction kinetics and microkinetic analysis, biomass conversion to renewable energy and chemicals, solvent effects in liquid-phase catalytic processes, experimental determination of reaction mechanisms, complex plastic waste recycling, heterogeneous catalysis"
Aoyi Luo,4,"adhesion, manufacturing, heat transfer, solid mechanics, mechanics, materials, thermophysics, design and manufacturing, soft robotics"
Karen Martinez Soto,4,"conceptual understanding, classroom assessment, curriculum development"
Shalabh C. Maroo,4,"thermal management, energy conversion, nano and micro-technology, nanotechnology, desalination, heat transfer"
Ben Akih-Kumgeh,4,"chemical kinetics, gas turbines, kinetic modelling, combustion analyses"
Jeongmin Ahn,4,"combustion, thermal management, energy conversion, power mems, electrochemistry"
Ian D. Hosein,4,"polymers, energy, energy conversion and storage, devices, synthesis and processing, composites"
Katie Cadwell,4,"chemical engineering education, faculty and student professional development, best practices in engineering education"
Svetoslava Todorova,5,"smart sensing for monitoring water and air quality, transport, cycling, and bioaccumulation of metals in aquatic environments, science for policy formation and effective implementation, sustainable engineering practices in built and natural environments, urban stormwater management"
John Trimmer,5,"sanitation and resource recovery, sustainability analysis of water, sanitation, and resource systems, water and sanitation in resource-limited settings, resource recovery from sanitation, water and sanitation in developing contexts, sustainable design, social-ecological systems"
Elizabeth Carter,5,"hydroclimatology, hydrology, remote sensing, disaster mitigation and response"
Aaron Mohammed,5,"hydrology, hydrogeology, cold regions, permafrost"
Andria Costello Staniec,5,"environmental engineering, biotechnology"
Chris E. Johnson,5,"trace metals in the environment, chemistry of natural organic matter, forest soils, soil organic matter, biogeochemical processes in terrestrial ecosystems, soil chemistry, biogeochemistry, water chemistry"
Charles T. Driscoll,5,"environmental engineering, environmental science, biogeochemistry, air pollution effects, human disturbance of ecosystems"
Teng Zeng,5,"formation and control of water treatment byproducts, occurrence and fate of organic micropollutants, wastewater surveillance for substance use assessment, wastewater surveillance, environmental photochemistry of organic matter, aquatic photochemistry, non-targeted analysis"
Junzhe Zhang,6,"causal inference, artificial intelligence"
Kristopher Micinski,6,"reverse engineering, automated reasoning, foundations of computer security and privacy, programming languages, static analysis, formal methods"
Bryan S. Kim,6,"storage systems, file and storage systems, operating systems, computer architecture"
M. Cenk Gursoy,6,"wireless communications, machine learning, information theory, signal processing, wireless networks"
Sucheta Soundarajan,6,"social network analysis, complex systems, algorithmic fairness, data mining, algorithms"
Biao Chen,6,
J. Cole Smith,6,"integer programming and combinatorial optimization, integer programming, mathematical programming, operations research, network flows and facility location, computational optimization methods, large-scale optimization due to uncertainty or robustness considerations"
Susan Older,6,
Ehat Ercanli,6,"computer architecture, design automation, system verification and testing, database systems, embedded system design"
Makan Fardad,6,"complex networks, control theory, analysis and optimization of large-scale networks, convex optimization, dynamical systems"
Venkata S.S. Gandikota,6,"theoretical computer science, discrete mathematics, computational complexity theory, lattice algorithms, coding & information theory, computational geometry, foundations of data science"
Natarajan Gautam,6,"machine learning, energy management, logistics and scheduling, stochastic modeling, control, and optimization, queues, energy conservation, data science: predictive and prescriptive analytics, queues and networks, applied probability, logistics, performance evaluation, information freshness, stochastic processes"
Farzana Rahman,6,"mobile healthcare, cs education, broadening participation in cs, iot based healthcare"
Endadul Hoque,6,security of networked systems
Qinru Qiu,6,"neuromorphic computing, energy efficient computing, system-on-chip"
Yuzhe Tang,6,"systems security, cyber-security, distributed systems, cryptocurrencies and finance security, ethereum, blockchains, decentralized systems and blockchains, defi, applied formal methods and software testing, cyber-security and privacy"
C.Y. Roger Chen,6,"environmental engineering, biotechnology"
